image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,4,0.854285,van,car,False
drive_022,2,1,0.834317,car,car,True
drive_022,3,3,0.86578,car,car,True
drive_022,4,5,0.870076,truck,bus,False
drive_022,5,2,0.966332,bus,van,False
drive_033,1,6,0.800096,car,car,True
drive_033,3,9,0.821959,van,car,False
drive_033,9,5,0.83434,car,car,True
drive_033,10,7,0.912705,car,car,True
drive_033,11,8,0.841327,car,car,True
drive_033,12,11,0.887966,car,car,True
drive_033,13,10,0.842871,car,car,True
drive_033,17,4,0.792981,car,car,True
drive_033,18,3,0.875536,car,car,True
drive_033,19,1,0.983438,bus,van,False
drive_033,20,2,0.91451,truck,bus,False
drive_033,21,12,0.941465,bus,van,False
drive_038,1,14,0.690755,car,car,True
drive_038,2,15,0.912356,van,truck,False
drive_038,3,9,0.915657,truck,bus,False
drive_038,4,5,0.948702,van,bus,False
drive_038,20,6,0.828664,car,car,True
drive_038,21,12,0.767163,car,car,True
drive_038,22,16,0.874594,car,car,True
drive_038,23,17,0.879067,car,car,True
drive_038,29,1,0.933801,car,car,True
drive_038,30,10,0.874353,car,car,True
drive_038,31,11,0.888714,car,car,True
drive_038,32,8,0.843436,car,car,True
drive_038,33,7,0.8583,car,car,True
drive_038,34,2,0.929052,car,car,True
drive_038,36,3,0.945996,car,car,True
drive_038,37,13,0.866292,car,car,True
drive_008,2,15,0.158449,car,car,True
drive_008,3,14,0.769831,car,car,True
drive_008,4,11,0.894166,car,car,True
drive_008,5,1,0.84482,truck,bus,False
drive_008,7,9,0.978616,bus,van,False
drive_008,8,3,0.913553,van,truck,False
drive_008,9,5,0.839696,van,truck,False
drive_008,10,12,0.86557,van,truck,False
drive_008,12,7,0.770591,car,car,True
drive_008,14,4,0.851403,car,car,True
drive_008,15,2,0.933007,car,car,True
drive_008,16,6,0.925446,car,car,True
drive_008,22,13,0.647806,car,car,True
drive_008,25,16,0.912936,car,car,True
